shona,luo
"Ndapota, onai ndine vanasikana vaviri vasati vamborara nemurume. Ndapota, regai ndivabudise ndikupei muite henyu zvamunoda navo. Asi musaita kana chii zvacho nevarume ava, nekuti ivo vaenzi mumba mangu.”","Winjauru asayou, an gi nyiri ariyo ma pok onindoga gi chwo. Weuru akelnugi mondo utim kodgi gima uhero. To kik utim richo moro amora ne chwogi, nimar gin wenda.”"
"Vakati: “Sudurukira uko!” Vakatizve: “Mutorwa uyu asina hama akauya kuzogara muno asi ava kuda kutotitonga! Tava kuzokuitira zvinopfuura zvatiri kuda kuvaitira.” Vakabva vamomotera Roti, ndokuswedera pedyo kuti vapaze suo.",To ne gidwoke niya: “Wuog e nyimwa kae!” Ne gimedo wacho niya: “Ng’atni en jadak to odwaro nyisowa gima owinjore watim! Koro wabiro timoni marach moloyo chwogo.” Eka ne gidhiro Lut mondo gimuk dhoot.
"Varume vacho vakabva vatambanudzira maoko avo panze vakapinza Roti mumba mavakanga vari, vakavhara suo.",To welogo ne oywayo Lut ma gidwoke e ot mi giloro dhoot.
"Asi vakapofumadza varume vakanga vari pasuo remba, kubvira kumudiki kusvika kumukuru, zvekuti vakasvika pakuneta vachitsvaga pane suo.","Eka ne gidino wenge ji duto ma ne ni oko, chakre ng’at matinie mogik nyaka ng’at maduong’ mogik, kendo ne gichandore ka gimanyo dhoot, mi giol."
"Varume vacho vakabva vati kuna Roti: “Une dzimwe hama here muno? Vakuwasha, vanakomana vako, vanasikana vako, nevanhu vako vese vari muguta, vabudise munzvimbo ino!","Eka welogo ne openjo Lut niya: “Be in gi jomamoko kae kaka ocheni, yawuoti, nyigi, kata watni moro modak e dalani? Kawgi giduto mondo ua ka!"
"Tiri kuda kuparadza nzvimbo ino, nekuti Jehovha anzwa kunyunyuta kukuru kuri kuitwa pamusoro peguta rino, saka Jehovha atituma kuzoriparadza.”","Wabiro ketho dalani, nimar Jehova osewinjo ywak maduong’ nikech richo madongo ma jo dalani osetimo. Jehova oseorowa mondo waketh dalani.”"
"Saka Roti akabuda akatanga kutaura nevakuwasha vake vaida kuroora vanasikana vake achiti: “Simukai! Budai munzvimbo ino, nekuti Jehovha ari kuda kuparadza guta rino!” Asi vakuwasha vake vaiona sekuti ari kutamba zvake.","Omiyo, Lut ne odhi ir ochene ma nonego okend nyige monyisogi kama: “Auru malo! Wuoguru kae nikech Jehova biro ketho dalani!” To ochenego ne paro ni otugo."
"Ava mambakwedza, ngirozi dzakabva dzakurumidzisa Roti, dzichiti: “Simuka! Tora mudzimai wako nevanasikana vako vaviri vauinavo muno, kuti murege kuparadzwawo panoparadzwa guta rino nemhaka yezvivi zvaro!”","To ka ne piny oru, malaikego ne okaso Lut mondo owuogi. Ne giwachone niya: “Auru malo! Kaw chiegi gi nyigi ariyo man kae mondo uwuog, nono to ibiro tieku sa ma itieko joricho e dalani!”"
"Paakaramba achingotenderera-tenderera, varume vacho vakabata ruoko rwake nerwemudzimai wake pamwe nemaoko evanasikana vake vaviri, vakamubudisa ndokumumisa kunze kweguta nekuti akanga anzwirwa tsitsi naJehovha.","To ka malaikego noneno ka Lut pod digni, ne gimako lwete, kaachiel gi lwet chiege gi mag nyige ariyo, mi gigologi e dalano, nikech Jehova Nyasaye ne okeche."
"Pavakangovasvitsa kumucheto, mumwe wavo akati: “Tiza kuti upone! Usacheuka uye hapana paunofanira kumira muruwa rwacho rwese! Tizira kumakomo kuti urege kuparadzwa!”","Kendo mapiyo bang’ gologi oko, achiel kuomgi ne owachonegi niya: “Ringuru mondo ures ngimau! Kik ung’i chien, kendo kik uchung’ kamoro amora e alworani! Ringuru e gode mondo kik utho.”"
"Roti akabva ati kwavari: “Aiwa Jehovha, musandiendesa ikoko ndapota!","To Lut ne odwoko niya: “Yaye Jehova, akwayi ni kik wadhi kuno!"
"Manzwira mushumiri wenyu nyasha uye muri kundiratidza mutsa wakakura, nekundichengetedza ndiri mupenyu, asi handikwanisi kutizira kumakomo nekuti ndinotya kuti dambudziko ringangondiwira ndikafa.","Isetimona ng’wono, kendo herani mogundho osemiyo ireso ngimana, to ok anyal ringo e got nikech aluor ni masirani nyalo juka ma atho ka pok achopo kuno."
Guta iri riri pedyo uye ndinogona kutizira ikoko; kanongova kanzvimbo kadiki. Ndinokumbirawo kutizira ikoko. Kanongova kanzvimbo kadiki. Uye ndichapona.”,"Koro, akwayi ni nitie taon moro matin man machiegni gi kae ma anyalo chopoe piyo. En mana taon matin, yiena aring kuno mondo ares ngimana.”"
"Saka akati kwaari: “Zvakanaka, ndichateerera chikumbiro chako, ndorega kuparadza guta rawataura.","Ne odwoke niya: “Ayie gi kwayonino omiyo, ok abi ketho taon midwaro ringoeno."
"Kurumidza! Tizira ikoko, nekuti handina zvandinogona kuita kana usati wasvika ikoko!” Ndokusaka akatumidza guta racho kuti Zoari.",To tim piyo iring kuno! Nimar ok anyal timo gimoro amora kapok ichopo e taondno.” Mano e momiyo ne oluongo taondno ni Zoar.
Zuva rakanga rabuda pakasvika Roti kuZoari.,Lut ne ochopo e taon mar Zoar ka chieng’ osewuok.
Jehovha akabva anayisa sarufa nemoto paSodhomu neGomora; zvaibva kudenga kuna Jehovha.,"Eka Jehova Nyasaye ne okelo mach gi salfa, mowang’o Sodom gi Gomora. Adier, Jehova e ma ne ooro majno koa e polo malo."
"Saka akaparadza maguta aya, ruwa rwacho rwese, kusanganisira vagari vese vemumaguta acho nezvese zvakanga zvakamera.","Kamano, Nyasaye ne oketho miechego duto. Ne oketho alworano duto gi ji duto ma nodak kuondego, kaachiel gi gik moko duto ma notwi e lowo."
"Asi mudzimai waRoti, uyo akanga ari kumashure kwake, akatanga kucheuka, akabva ava shongwe yemunyu.","To chi Lut ma noyudo ni e ng’e Lut, ne ochako ng’iyo chien molokore siro mar chumbi."
Abrahamu akabva afumoenda kunzvimbo yaakanga ambomira pamberi paJehovha.,Ibrahim ne omondo ma odhi ka ma ne osechung’ie kowuoyo gi Jehova.
"Paakatarisa nechekuSodhomu neGomora uye nenyika yese yeruwa rwacho, zvaakaona zvakamutyisa. Kwakanga kuine utsi hutema-tema hwaikwira huchibva panyika yacho seutsi hutema-tema hwebisiro!","Ka ne ong’iyo yo Sodom gi Gomora kod alworagi duto, gima noneno nobwoge! Ne nitie yiro e piny machal gi yiro mar mach maduong’!"
"Saka Mwari paakaparadza maguta eruwa rwacho, Mwari akayeuka Abrahamu nekubudisa Roti mumaguta aakaparadza, maguta akanga achigarwa naRoti.","To Nyasaye ne oparo wach Ibrahim ka ne odwaro ketho mier ma ne nie alworano, mi nogolo Lut kuno eka okethogi."
"Roti akazobva kuZoari pamwe nevanasikana vake vaviri akatanga kugara mumakomo, nekuti aitya kugara muZoari. Saka akatanga kugara mubako nevanasikana vake vaviri.","Bang’e, Lut ne oluor dak Zoar, omiyo noa kuno gi nyige ariyo modhi e gode, mi gichako dak e rogo."
"Mukuru wacho akati kumunin’ina wake: “Baba vedu vakwegura, uye hakuna murume munyika ino wekuti arare nesu sezvinongoitwawo nevanhu vese panyika.","To nyare maduong’ ne owacho ne matin niya: “Wuonwa koro oseti, to onge dichwo e pinyni ma nyalo kendowa mondo wan bende wanyuol nyithindo kaka jomamoko."
"Uya tipe baba vedu waini vanwe, torara navo, kuti tichengetedze rudzi kubva kuna baba vedu.”","Kuom mano, wami wuonwa divai, to kosemer wanind kode, kendo wanyuol nyithindo mondo kothe kik lal.”"
"Saka usiku ihwohwo vakaramba vachipa baba vavo waini kuti vanwe; mukuru wacho akabva apinda akarara nababa vake, asi havana kuziva paakarara nepaakamuka.","Omiyo, otienono ne gimiyo wuon-gi divai mang’eny momer, kendo nyare maduong’ ne onindo kode. To Lut ne omer ahinya ma ok nonyal ng’eyo gima timore."
"Zuva rakatevera, mukuru wacho akabva ati kumudiki wacho: “Ndakarara nababa usiku hwapfuura. Ngativapeizve waini vanwe usiku huno, iwe wopindawo worara navo, tichengetedze rudzi kubva kuna baba vedu.”","Kinyne, nyako maduong’ nowacho ne matin niya: “Ne! Nyoro ne anindo gi wuonwa, koro wachak wamiye divai kendo kawuono gotieno, kae to in bende inind kode eka wanyuol nyithindo mondo kothe kik lal.”"
"Saka usiku ihwohwo zvakare, vakaramba vachipa baba vavo waini; mudiki wacho akabva aenda akarara navo, asi havana kuziva paakarara nepaakamuka.","Omiyo, otienono bende ne gimiyo wuon-gi divai mang’eny momer, kendo nyare matin ne onindo kode. To Lut ne omer ahinya ma ok nonyal ng’eyo gima timore."
Saka vanasikana vaviri vaRoti vakava nepamuviri pababa vavo.,"Kamano, nyiri ariyogo ne omako ich gi wuon-gi."
Mukuru wacho akabereka mwanakomana akamutumidza kuti Moabhi. Ndiye baba wevaMoabhi variko iye zvino.,Kendo nyako maduong’ ne onyuolo nyathi ma wuoyi mochake ni Moab. En e wuon Jo-Moab.
Mudiki wacho akaberekawo mwanakomana akamutumidza kuti Bheni-ami. Ndiye baba wevaAmoni variko iye zvino.,To nyako matin bende nonyuolo nyathi ma wuoyi mochake ni Benami. En e wuon Jo-Amon.
"Abrahamu akabva atamisa musasa wake kubva ipapo, akaenda kunyika yeNegebhu, akatanga kugara pakati peKadheshi neShuri. Paakanga achigara muGerari,","Koro, Ibrahim ne odar moa ka ma ne entie mi odhi yo Negeb, mochako dak e kind Kadesh gi Shur. To ka ne oyudo en jadak e piny Gerar,"
"Abrahamu akatizve nezvaSara mudzimai wake: “Ihanzvadzi yangu.” Saka Abhimereki mambo weGerari akatumira shoko kuti aunzirwe Sara, akabva amutora.","nowacho ne Jo-Gerar bende ni Sara en nyamin-gi. Kuom mano, Abimelek ruodh Gerar ne ooro joote mondo giom Sara."
"Mwari akazouya kuna Abhimereki kuhope usiku akati kwaari: “Wangofanana nemunhu akafa nemhaka yemukadzi wawatora, nekuti akaroorwa, mukadzi wemunhu.”","Bang’e, Nyasaye ne ofwenyore ne Abimelek e lek gotieno, mowachone niya: “Ne! In isetho, nikech dhako mikawono en chi ng’ato.”"
"Asi Abhimereki akanga asina kuswedera pedyo naye. Saka akati: “Jehovha, mungauraya rudzi rusina mhosva here?","Kata kamano, noyudo Abimelek pok onindo gi Sara. Kuom mano, ne openjo niya: “A Jehova, be ibiro nego oganda ma onge ketho?"
"Handiti ndiye akati kwandiri, ‘Ihanzvadzi yangu,’ naiyewo mukadzi wacho akati, ‘Ihanzvadzi yangu’? Izvi ndakazviita ndisina pfungwa yekuita zvakaipa uye handina kumboziva kuti ndiri kukanganisa.”","Donge Ibrahim e ma nonyisa ni Sara en nyamin-gi, kendo Sara bende nowacho ni Ibrahim en owadgi? Ne akawo Sara gi chuny maler, omiyo, aonge ketho.”"
"Mwari wechokwadi akabva ati kwaari kuhope: “Ndinoziva kuti wakazviita usina pfungwa yekuita zvakaipa, saka ndakakudzivisa kuti urege kunditadzira. Ndokusaka ndisina kukubvumira kumubata.","To Nyasaye madier ne odwoke e lek niya: “Ang’eyo ni ne ikawe gi chuny maler, e momiyo ne ok ayie ni imule, mondo kik iketh e nyima."
"Iye zvino chimudzorera mudzimai wake nekuti murume wacho muprofita, uye achakunyengeterera uye iwe ucharamba uchirarama. Asi kana ukasamudzorera, ziva kuti zvechokwadi uchafa, pamwe nevanhu vako vese.”","Koro, duok dhakono ir chwore. Chworeno en janabi, kendo obiro lemoni mondo kik itho. To ka ok iduoke, ibiro tho kod joodi duto.”"
"Abhimereki akafumomuka, akashevedza vashandi vake vese, akavaudza zvese izvi, uye vakatya zvikuru.","Abimelek ne omondo chiew kinyne gokinyi mi oluongo jotichne duto monyisogi wechego, kendo luoro maduong’ nomakogi."
Abhimereki akabva ashevedza Abrahamu akati kwaari: “Chiiko chawakatiitira ichi? Ndakakutadzirei zvekuti ungaunza chivi chikuru kudaro pandiri nepaumambo hwangu? Zvawakandiitira hazvina kunaka.”,Eka Abimelek ne oluongo Ibrahim mopenje niya: “Ang’o ma isetimonwani? Ere gima rach ma asetimoni momiyo ikelo richo maduong’ni kuoma kendo kuom pinyruodha? Isetimona tim ma ok kare kata matin.”
Abhimereki akaenderera mberi achiti kuna Abrahamu: “Wakazviitireiko?”,Kendo nomedo penjo Ibrahim niya: “Ang’o ma ne omiyo itimonwa kama?”
"Abrahamu akati: “Ndakazviita nekuti ndakafunga kuti, ‘Chokwadi munzvimbo ino hamuna vanhu vanotya Mwari, saka vachandiuraya kuti vatore mudzimai wangu.’","To Ibrahim ne odwoke niya: “Ne atimo kamano nikech ne aparo ni onge jo ma oluoro Nyasaye e pinyni, omiyo naneno ni jopinyni ne nyalo nega mi gikaw chiega."
"Asi pasinei naizvozvo, iye ihanzvadzi yangu zvechokwadi, mwanasikana wababa vangu, asi vanaamai vedu vakasiyana, uye akazova mudzimai wangu.","Kendo adier, Sara en nyamera kata obedo ni ne akende, nimar minewa e ma opogore, to wuonwa en achiel."
"Saka Mwari paakaita kuti ndifambe nenyika ndichibva muimba yababa vangu, ndakaudza mudzimai wangu kuti: ‘Aya ndiwo maratidziro auchaita kuti unonyatsondida: Kwese kwatichaenda, iti nezvangu, “Ihanzvadzi yangu.”’”","To ka Nyasaye nochika ni awuog e dala wuora mondo awuoth e pinje, ne akwayo Sara niya: ‘Kuonde duto mwabiro dhiye, iwach ni an owadu. Kamano e kaka ibiro timona ng’wono.’”"
"Abhimereki akabva atora makwai nemombe uye vashandirume nevashandikadzi akazvipa Abrahamu, uye akamudzorera mudzimai wake Sara.","Eka Abimelek ne oduoko Sara ir Ibrahim, kendo ne omiyo Ibrahim rombe, dhok, kod jotich ma chwo kod ma nyiri."
Abhimereki akatiwo: “Unogona hako kugara munyika yangu. Gara chero paunoda.”,"Abimelek nowachone niya: “Pinyni duto en mara, inyalo dak kamoro amora ma ihero.”"
"Uye kuna Sara akati: “Ona ndiri kupa hanzvadzi yako masirivha 1 000. Ichi chiratidzo chekuti hauna mhosva kuvanhu vese vauinavo uye pamberi pevamwe vese, uye hapana achakushora.”","To ne onyiso Sara bende niya: “Eri amiyo owadu ng’injo 1,000 mag fedha mondo obed ranyisi ne jou duto ni ionge gi ketho, kendo ni onge gimoro marach ma isetimo.”"
"Abrahamu akateterera Mwari wechokwadi, uye Mwari akaporesa Abhimereki nemudzimai wake nevarandasikana vake, vakatanga kubereka vana;","Ibrahim ne ochako sayo Nyasaye, mi Nyasaye ne ochango Abimelek, chiege, kod jotichne ma nyiri mi ne gichako nyuolo nyithindo;"
"nekuti Jehovha akanga aita kuti vakadzi vese veimba yaAbhimereki vasabata pamuviri nemhaka yaSara, mudzimai waAbrahamu.","nimar noyudo Jehova osetamo mon duto e od Abimelek nyuol, nikech gima ne osetimore ne Sara chi Ibrahim."
"Jehovha akayeuka Sara sezvaakanga ataura, uye Jehovha akaitira Sara zvaakanga avimbisa.","To Jehova ne oparo gima nosesingo ne Sara, mi Jehova ne otimo kaka nosingono."
"Saka Abrahamu paakanga akwegura, Sara akava nepamuviri, akamuberekera mwanakomana, panguva yakanga yavimbiswa naMwari.","Omiyo, Sara ne omako ich, monyuolo ne Ibrahim wuoyi ka Ibrahim ne oseti. Ne onyuole mana e kinde ma Nyasaye ne osingone."
Abrahamu akatumidza mwanakomana wake waakanga aberekerwa naSara kuti Isaka.,Ibrahim ne ochako wuode ma Sara ne onyuolono ni Isaka.
"Uye Abrahamu akachecheudza mwanakomana wake Isaka paakanga ava nemazuva 8, sezvaakanga arayirwa naMwari.","Ka ne Isaka ochopo ndalo aboro, Ibrahim notere nyangu mana kaka Nyasaye nosechike."
Abrahamu akanga ava nemakore 100 pakaberekwa Isaka mwanakomana wake.,Ibrahim ne jahigni 100 ka ne onyuol Isaka.
Sara akabva ati: “Mwari aita kuti ndisekwe; vese vanozvinzwa vachaseka neni.”,Eka Sara ne owacho niya: “Nyasaye osemiya gima nyalo miya nyiero; kendo ng’ato ang’ata mowinjo wachni biro nyiero koda.”
Akatizve: “Ndiani aimbofunga kuti Sara mudzimai waAbrahamu achayamwisa vana? Asi ndamuberekera mwanakomana iye akwegura.”,Kendo nomedo wacho niya: “Ng’ano ma ne nyalo nyiso Ibrahim ni Sara ne dhi dhodho nyithindo? Eri asenyuolone wuoyi ka hike oseniang’.”
"Mwana wacho akakura akazorumurwa, uye Abrahamu akaita mabiko makuru pazuva rakarumurwa Isaka.","Nyathino ne odongo, kendo chieng’ ma ne oweyo dhoth, Ibrahim ne otimone nyasi maduong’."
"Asi Sara aiona kuti mwanakomana waHagari muIjipiti, waakanga aberekera Abrahamu, aitsvinyira Isaka.","To Sara ne janeno kaka wuoyi ma Hagar Nya-Misri nonyuolo ne Ibrahim, ne jaroga Isaka."
"Saka akati kuna Abrahamu: “Dzinga murandasikana uyu nemwanakomana wake, nekuti mwanakomana wemurandasikana uyu haasi kuzova mugari wenhaka pamwe nemwanakomana wangu, Isaka!”","Omiyo, Sara ne owacho ne Ibrahim niya: “Riemb jatich ma nyakoni gi wuode, nikech wuode ok bi chamo mwanduni kaachiel gi Isaka wuoda!”"
Asi Abrahamu haana kufara nezvakataurwa naSara nezvemwanakomana wake.,"To wachno ne ok omoro Ibrahim kata matin, nikech mano ne en wuode."
"Mwari akabva ati kuna Abrahamu: “Usagumburwa nezvauri kutaurirwa naSara nezvemukomana uyu, uye nezvemurandasikana wako. Teerera zvaari kutaura, nekuti uya achanzi mwana wako achauya nekuna Isaka.","Eka Nyasaye ne owacho ne Ibrahim niya: “Kik iwinj malit e chunyi nikech wach ma Sara owachoni e wi wuoyino kod jatichni ma nyako. Winj dwond Sara, nimar kothi biro a kuom Isaka."
"Kana ari mwanakomana wemurandasikana, ndichaitawo kuti rudzi rubve maari, nekuti mwana wako.”","Abiro miyo wuod jatichni ma nyako obed oganda maduong’, nikech en bende en kothi.”"
"Saka Abrahamu akafumomuka akapa Hagari chingwa, nehomwe yedehwe ine mvura. Akamutakudza papfudzi akamuendesa pamwe chete nemukomana wacho. Saka akaenda, akatanga kungodzungaira murenje reBheeri-shebha.","Kuom mano, Ibrahim ne ochiewo gokinyi mang’ich mi okawo chiemo kod chupa moting’o pi, mi oketogi e gok Hagar. Bang’ mano, ne ogonyo Hagar gi wuode mondo gidhi. Omiyo, Hagar ne owuok kendo ne orundore arunda e thim mar Beer-sheba."
"Mvura yakanga iri muhomwe yedehwe yakazopera, uye Hagari akasundidzira mukomana wacho muzasi megwenzi.","Gikone pi ma noting’o e chupano ne orumo, kendo ne obolo nyathino e tiend bungu moro."
"Akabva aenda akanogara pasi ari pake ega, chinhambwe chingasvika museve kana wapfurwa, nekuti akati: “Handisi kuda kuona mukomana wacho achifa.” Saka akagara pasi ari kure zvishoma, akatanga kuchema achiridza mhere.","Eka ne odhi mobet gi ka mochwalore matin, ma borne nyalo romo gi ka ma asere nyalo chopo kodir. Nimar ne owacho niya: “Ok daher neno ka wuodani tho.” Omiyo, ne ochako ywak matek ka ma nobetieno."
"Mwari akanzwa inzwi remukomana wacho, ngirozi yaMwari ikashevedzera kuna Hagari iri kudenga ichiti: “Zvaita seiko nhai Hagari? Usatya, nekuti Mwari anzwa inzwi remukomana paari ipapo.","To Nyasaye ne owinjo dwond wuoyino, kendo malaika mar Nyasaye ne owuoyo gi Hagar gie polo, mopenje niya: “Hagar, ang’o marach? Kik iluor, nikech Nyasaye osewinjo ka wuoyino ywak ka ma entiereno."
"Simuka, simudza mukomana umubate neruoko rwako, nekuti ndichamuita rudzi rukuru.”","Chung’ malo ikaw wuoyino mondo irite maber, nimar abiro miyo obed oganda maduong’.”"
"Mwari akabva asvinudza maziso ake, akaona tsime remvura, akaenda akazadza mvura muhomwe yake yedehwe, ndokunwisa mukomana wacho.","Eka Nyasaye ne oyawo wang’ Hagar, moneno soko moro, mi ne odhi motuomo pi gi chupa momiyo wuoyino mondo omodhi."
Mukomana wacho akakura Mwari ainaye. Aigara murenje uye aivhima achishandisa uta nemuseve.,"Kendo Nyasaye, ne orito wuoyino mi odongo maber. Ne odak e thim mobedo jaba asere."
"Akazonogara murenje reParani, uye amai vake vakamuwanira mudzimai kunyika yeIjipiti.","Wuoyino ne odak e thim mar Paran, kendo bang’e min mare ne onyombone e piny Misri."
Panguva iyoyo Abhimereki pamwe chete naFikori mukuru wemauto ake vakati kuna Abrahamu: “Mwari anewe pazvinhu zvese zvauri kuita.,"E kindego, Abimelek kod Fikol ma ne jatend jolwenje ne owacho ne Ibrahim niya: “Waseneno kaka Nyasaye ni kodi e gimoro amora ma itimo."
"Saka ndipikire pano naMwari kuti hauzondinyengeri ini nevana vangu nevazukuru vangu, uye kuti uchandibata ini, nenyika yauri kugara, semabatiro andiri kukuita nerudo rusingachinji.”","Kuom mano, koro kuong’rina e nyim Nyasaye ni ok initimna gimoro marach, kendo ok initim ne nyithinda kod nyikwaya gimoro amora marach. Mana kaka asenyisi ng’wono madier, in bende initimna mana kamano kaachiel gi jopiny ma idakieni.”"
Abrahamu akabva ati: “Ndinopika kuti ndichadaro.”,Ibrahim ne odwoke niya: “Ayie.”
Asi Abrahamu akanyunyuta kuna Abhimereki nezvetsime remvura rakanga ratorwa nevashandi vaAbhimereki nechisimba.,"Kata kamano, Ibrahim ne onyiso Abimelek wach soko moro ma jotich Abimelek nosemayogi gi thuon."
"Abhimereki akapindura kuti: “Handizivi kuti ndiani akazviita; hauna kundiudza nezvazvo, uye hapana akambondiudzawo; ndiwe uri kutonditaurira.”","Abimelek ne odwoke niya: “Akiya wachno, nikech ne ok inyisago, kendo kawuono e ma akwongo winje.”"
"Abrahamu akabva atora makwai nemombe akazvipa Abhimereki, uye vaviri vacho vakaita sungano.","Eka Ibrahim ne omiyo Abimelek rombe gi dhok, kendo ji ariyogo ne otimo singruok."
"Abrahamu paakatsaura makwayana manomwe kubva pane mamwe,",To Ibrahim ne opogo nyirombe ma mon abiriyo kuom kueth mi oketogi yorgi.
Abhimereki akati kuna Abrahamu: “Ko makwayana aya manomwe awatsaura ndeeyi?”,Eka Abimelek ne openje niya: “Ang’o momiyo ipogo nyirombego yorgi?”
"Akabva ati: “Gamuchirai makwayana acho manomwe andiri kukupai, kuti chive chiratidzo chekuti ndini ndakachera tsime iri.”",Ibrahim ne odwoke niya: “Kaw nyirombe abiriyogi mondo gibed ranyisi ni an e ma nakunyo sokoni.”
"Ndokusaka akatumidza nzvimbo iyoyo kuti Bheeri-shebha, nekuti vaviri vacho vakanga vaita mhiko ipapo.","Mano e momiyo nochako kanyo ni Beer-sheba, nikech kanyo e ma ji ariyogo ne okuong’oree."
"Saka vakaita sungano paBheeri-shebha, Abhimereki akazosimuka pamwe chete naFikori mukuru wemauto ake, vakadzokera kunyika yevaFiristiya.","Bang’ timo singruok Beer-sheba, Abimelek kod Fikol ma ne jatend jolwenje ne odok e piny Jo-Filistia."
"Pashure paizvozvo akasima muti wemutamarisiki paBheeri-shebha, uye ipapo akadana zita raJehovha, Mwari wekusingagumi.","Bang’ mano, Ibrahim ne opidho yath miluongo ni tamarisk e Beer-sheba, mi opako nying Jehova Nyasaye ma nyaka chieng’."
Uye Abrahamu akagara munyika yevaFiristiya kwenguva yakareba.,Kendo Ibrahim nodak e piny Jo-Filistia kaka jadak kuom ndalo mang’eny.
"Izvi zvaitika, Mwari wechokwadi akaedza Abrahamu, uye akati kwaari: “Abrahamu!” iye akadavira achiti: “Ndiri pano!”","To bang’ wechego, Nyasaye madier ne otemo Ibrahim. Ne oluonge niya: “Ibrahim!” Ibrahim ne odwoke ni, “Antie!”"
"Akabva ati: “Ndinokumbirawo kuti utore mwanakomana wako, mwanakomana wako mumwe chete waunoda kwazvo, Isaka, uende kunyika yeMoriya, umupe sechibayiro chinopiswa ikoko pane rimwe gomo randichakusarudzira.”","Nyasaye ne owachone niya: “Kaw Isaka wuodi makende kendo mihero ahinya, mondo udhi kode e piny Moria, ka uchopo kuno to inichiwe ka misango miwang’o e wi got moro ma abiro nyisi.”"
"Saka Abrahamu akafumomuka, akasungirira chigaro padhongi rake, akatora varanda vake vaviri pamwe naIsaka mwanakomana wake. Akatsemura huni dzechibayiro chinopiswa, uye akabva asimuka ndokuenda kunzvimbo yaakanzi aende naMwari wechokwadi.","Omiyo, Ibrahim nochiewo okinyi mang’ich. Noiko pundane, kae to owuok gi Isaka wuode kod jotichne ariyo. Ne obaro yien ma nodhi wang’ogo misango, mochako wuodhe nyaka ka ma Nyasaye madier nosewachone."
"Pazuva rechitatu, Abrahamu akatarisa akaona nzvimbo yacho achiri kure.","E odiechieng’ mar adek, Ibrahim ne oting’o wang’e moneno ka ma ne gidhiyeno gi ku mabor."
"Abrahamu akabva ati kuvaranda vake: “Sarai pano nedhongi, uye ini nemukomana tichaenda nechekoko tinonamata, tozodzoka.”","Eka Ibrahim ne owacho ne jotichnego niya: “Dong’uru kae gi punda, to an gi Isaka wabiro dhi nyaka malo kucha mondo walam kae to wanaduogi.”"
"Saka Abrahamu akatora huni dzechibayiro chinopiswa akadzitakudza Isaka mwanakomana wake. Akabva atora moto nebanga, uye vaviri vacho vakafamba pamwe chete.","Eka Ibrahim ne oketo yien ma ne gidhi wang’ogo misango e gok Isaka, kae to ne okawo mach gi pala, mi gichako wuoth."
"Isaka akabva ati kuna baba vake Abrahamu: “Baba!” Ivo vakati: “Watii mwanangu?” Achibva ati: “Moto nehuni zviripo, asi gwai racho rechibayiro chinopiswa riri kupi?”","To Isaka ne owacho ne Ibrahim ni, “Wuora!” Mi ne odwoke niya: “Wach ane, wuoda!” Isaka ne owachone ni, “Wan gi mach kod yien, to ere rombo ma wadhi chiwo kaka misango miwang’o?”"
Abrahamu akati: “Mwari pachake achatipa gwai rechibayiro chinopiswa mwanangu.” Uye vakaramba vachifamba pamwe chete.,"Ibrahim ne odwoke kama: “Wuoda, Nyasaye e ma biro miyowa rombo ma wadhi chiwo kaka misango miwang’o.” Bang’ mano, ji ariyogo nodhi nyime gi wuodhgi."
"Vakazosvika panzvimbo yaakanga audzwa naMwari wechokwadi, uye Abrahamu akavaka atari ipapo, akaronga huni pamusoro payo. Akasunga mwanakomana wake Isaka maoko nemakumbo, akamuisa paatari pamusoro pehuni.","Gikone, ne gichopo ka ma Nyasaye madier nosenyise. Ibrahim ne ogero kendo mar misango, mochanoe yien, kae to ne otueyo lwete Isaka kod tiendene, mokete e wi yien ma nosechanogo."
Abrahamu akabva atambanudza ruoko rwake akatora banga kuti auraye mwanakomana wake.,Eka Ibrahim ne okawo pala mondo oneggo wuode.
"Asi ngirozi yaJehovha yakashevedzera kwaari iri kudenga ichiti: “Abrahamu, Abrahamu!” iye akapindura kuti: “Ndiri pano!”","To malaika mar Jehova ne oluonge gie polo niya: “Ibrahim! Ibrahim!” Ne odwoko ni, “Antie!”"
"Yakabva yati: “Usauraya mukomana uye usatomboita kana chii zvacho kwaari, nekuti iye zvino ndava kuziva kuti unotya Mwari nekuti hauna kundinyima mwanakomana wako, iye mumwe chete.”","Malaikano ne okwere niya: “Kik ineg wuoyino, kendo kik itimne gimoro amora marach, nimar koro ang’eyo ni in ng’at moluoro Nyasaye, nikech ok itamori chiwona wuodi makende.”"
Abrahamu akabva atarisa nechekumberi kwake akaona gondohwe rakanga rakabatwa nyanga dzaro mugwenzi. Saka Abrahamu akaenda akatora gondohwe racho akaripa sechibayiro chinopiswa panzvimbo pemwanakomana wake.,"Ibrahim ne oting’o wang’e, mi noneno yim moro komoko gi tungene e bungu machiegni kanyo. Eka Ibrahim nodhi mokawo yimno, mochiwe kaka misango miwang’o kar wuode."
Abrahamu akatumidza nzvimbo iyoyo kuti Jehovha-jire. Ndokusaka nanhasi zvichiri kunzi: “Mugomo raJehovha achapa zvinenge zvichidiwa.”,Ibrahim ne ochako kanyo ni Jehova-jire. Mano e momiyo pod ji wacho nyaka kawuononi niya: “Ibiro chiwnwa gik ma dwarore e god Jehova.”
